TASK: Pick up knife, slice apple, put knife in bowl, heat slice of apple in microwave, put apple slice on table.
subtask=long_horizon episode=episode_10 success=1.0 steps=20

step01: find a Knife                     -> step01_find_a_Knife.png
step02: pick up the Knife                -> step02_pick_up_the_Knife.png
step03: find a Apple                     -> step03_find_a_Apple.png
step04: slice the Apple                  -> step04_slice_the_Apple.png
step05: find a Bowl                      -> step05_find_a_Bowl.png
step06: put down the object in hand      -> step06_put_down_the_object_in_hand.png
step07: find a Apple                     -> step07_find_a_Apple.png
step08: pick up the Apple                -> step08_pick_up_the_Apple.png
step09: find a Microwave                 -> step09_find_a_Microwave.png
step10: open the Microwave               -> step10_open_the_Microwave.png
step11: put down the object in hand      -> step11_put_down_the_object_in_hand.png
step12: close the Microwave              -> step12_close_the_Microwave.png
step13: turn on the Microwave            -> step13_turn_on_the_Microwave.png
step14: turn off the Microwave           -> step14_turn_off_the_Microwave.png
step15: open the Microwave               -> step15_open_the_Microwave.png
step16: find a Apple                     -> step16_find_a_Apple.png
step17: pick up the Apple                -> step17_pick_up_the_Apple.png
step18: close the Microwave              -> step18_close_the_Microwave.png
step19: find a DiningTable               -> step19_find_a_DiningTable.png
step20: put down the object in hand      -> step20_put_down_the_object_in_hand.png
