TASK: Place a cold apple slice on the table.
long_horizon/episode_24 success=1.0 steps=18

step01: find a Knife                   -> step01_find_a_Knife.png
step02: pick up the Knife              -> step02_pick_up_the_Knife.png
step03: find a Apple                   -> step03_find_a_Apple.png
step04: slice the Apple                -> step04_slice_the_Apple.png
step05: find a CounterTop              -> step05_find_a_CounterTop.png
step06: put down the object in hand    -> step06_put_down_the_object_in_hand.png
step07: find a Apple                   -> step07_find_a_Apple.png
step08: pick up the Apple              -> step08_pick_up_the_Apple.png
step09: find a Fridge                  -> step09_find_a_Fridge.png
step10: open the Fridge                -> step10_open_the_Fridge.png
step11: put down the object in hand    -> step11_put_down_the_object_in_hand.png
step12: close the Fridge               -> step12_close_the_Fridge.png
step13: open the Fridge                -> step13_open_the_Fridge.png
step14: find a Apple                   -> step14_find_a_Apple.png
step15: pick up the Apple              -> step15_pick_up_the_Apple.png
step16: close the Fridge               -> step16_close_the_Fridge.png
step17: find a DiningTable             -> step17_find_a_DiningTable.png
step18: put down the object in hand    -> step18_put_down_the_object_in_hand.png
